# cross-gate unreddenability sweep — the measurement behind every
# SOURCE_SIDE_FALSIFIERS row (see `FalsifierKind`).
#
# Every registered patch × every source-side leaf. The leaves run in one
# batch and any leaf the batch left without a terminal `go test -json`
# event is re-run ALONE, so a patch that kills the binary cannot be
# recorded as reddening its neighbours. `no-go-hunks` means the patch
# touches nothing under runtime-go/ and so cannot change what a Go
# fixture does; `patch-absent` means the mutation is registered but its
# patch has not been authored yet.
#
# Re-take with:
#   cargo test -p xtask --bin xtask -- --ignored --exact \
#     bluedb_gates::gates_g2_13::tests::record_cross_gate_unreddenable_sweep
#
# <mutation-id> <leaf> <verdict>
G1.7/ship-to-origin-conn-only TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G1.7/ship-to-origin-conn-only TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G1.7/ship-to-origin-conn-only TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G1.7/ship-to-origin-conn-only TestCrashDurablePrefixNoReorder patch-absent
G1.7/ship-to-origin-conn-only TestInjectedFaultsReopenConsistent patch-absent
G1.7/ship-to-origin-conn-only TestSealContractRefusesWrites patch-absent
G1.7/ship-to-origin-conn-only TestSecondOpenFailsSingleProcessLock patch-absent
G1.7/ship-to-origin-conn-only TestWrongComparerNameRefusesOpen patch-absent
G2.1/sqlite-deferred TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G2.1/sqlite-deferred TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G2.1/sqlite-deferred TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G2.1/sqlite-deferred TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G2.1/sqlite-deferred TestCrashDurablePrefixNoReorder patch-absent
G2.1/sqlite-deferred TestInjectedFaultsReopenConsistent patch-absent
G2.1/sqlite-deferred TestSealContractRefusesWrites patch-absent
G2.1/sqlite-deferred TestSecondOpenFailsSingleProcessLock patch-absent
G2.1/sqlite-deferred TestWrongComparerNameRefusesOpen patch-absent
G2.10/tenant-out-of-conflict-domain TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G2.10/tenant-out-of-conflict-domain TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G2.10/tenant-out-of-conflict-domain TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G2.10/tenant-out-of-conflict-domain TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G2.10/tenant-out-of-conflict-domain TestCrashDurablePrefixNoReorder patch-absent
G2.10/tenant-out-of-conflict-domain TestInjectedFaultsReopenConsistent patch-absent
G2.10/tenant-out-of-conflict-domain TestSealContractRefusesWrites patch-absent
G2.10/tenant-out-of-conflict-domain TestSecondOpenFailsSingleProcessLock patch-absent
G2.10/tenant-out-of-conflict-domain TestWrongComparerNameRefusesOpen patch-absent
G2.11/widen-seek-bounds TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G2.11/widen-seek-bounds TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G2.11/widen-seek-bounds TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G2.11/widen-seek-bounds TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G2.11/widen-seek-bounds TestCrashDurablePrefixNoReorder patch-absent
G2.11/widen-seek-bounds TestInjectedFaultsReopenConsistent patch-absent
G2.11/widen-seek-bounds TestSealContractRefusesWrites patch-absent
G2.11/widen-seek-bounds TestSecondOpenFailsSingleProcessLock patch-absent
G2.11/widen-seek-bounds TestWrongComparerNameRefusesOpen patch-absent
G2.12/decimal-scale-naive TestAuditH3ReaderGetSurfacesIoErrors patch-absent
G2.12/decimal-scale-naive TestAuditH3ScanSurfacesIoErrorsAtTheCommitBoundary patch-absent
G2.12/decimal-scale-naive TestAuditN3BackgroundFatalDoesNotKillTheProcess patch-absent
G2.12/decimal-scale-naive TestAuditN3SynchronousWalFaultStillErrorsTheAck patch-absent
G2.12/decimal-scale-naive TestCrashDurablePrefixNoReorder patch-absent
G2.12/decimal-scale-naive TestInjectedFaultsReopenConsistent patch-absent
G2.12/decimal-scale-naive TestSealContractRefusesWrites patch-absent
