BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22831	     21198 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22638	     21598 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22822	     21017 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=21/nodes=159-8   	   22801	     21064 ns/op	       159.0 nodes	         1.000 patches/op	    2880 B/op	     122 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5550	     89199 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5553	     87999 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5492	     88611 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5462	     88679 ns/op	       670.0 nodes	         1.000 patches/op	   10474 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5403	     88751 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5480	     86262 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5641	     86168 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5652	     85977 ns/op	       670.0 nodes	         1.000 patches/op	   10474 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5648	     86164 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5586	     86111 ns/op	       670.0 nodes	         1.000 patches/op	   10474 B/op	     487 allocs/op
BenchmarkInteraction/text_one/items=94/nodes=670-8   	    5643	     86419 ns/op	       670.0 nodes	         1.000 patches/op	   10475 B/op	     487 allocs/op
